,State,"Production, U.S. Share","Production, Rank","Consumption per Capita, Million Btu","Consumption per Capita, Rank","Expenditures per Capita, Dollars","Expenditures per Capita, Rank",Median income,Standard error
0,Wyoming,8.1,3.0,967.0,1.0,8651.0,1.0,62539,"3,892"
1,North Dakota,4.4,6.0,872.0,3.0,8097.0,2.0,66505,"3,095"
2,Alaska,1.5,13.0,830.0,4.0,8060.0,3.0,68734,"3,390"
3,Louisiana,3.7,8.0,945.0,2.0,7537.0,4.0,49973,"1,754"
4,Texas,21.3,1.0,498.0,6.0,5345.0,5.0,59785,"1,372"
5,Iowa,0.9,22.0,513.0,5.0,4956.0,6.0,68718,"2,910"
6,South Dakota,0.3,40.0,452.0,9.0,4888.0,7.0,59463,"2,642"
7,West Virginia,5.0,5.0,462.0,8.0,4860.0,8.0,50573,"1,337"
8,Mississippi,0.3,37.0,400.0,13.0,4829.0,9.0,42781,"2,304"
9,Montana,1.0,18.0,410.0,12.0,4787.0,10.0,57679,"2,876"
10,Nebraska,0.5,34.0,475.0,7.0,4785.0,11.0,67575,"3,933"
11,Hawaii,0.0,48.0,206.0,47.0,4658.0,12.0,80108,"3,482"
12,Maine,0.2,44.0,295.0,29.0,4617.0,13.0,58663,"5,683"
13,Vermont,0.0,47.0,223.0,43.0,4555.0,14.0,70066,"2,350"
14,Alabama,1.3,14.0,400.0,14.0,4491.0,15.0,49936,"2,423"
15,Indiana,1.1,16.0,424.0,11.0,4486.0,16.0,59892,"1,997"
16,Kentucky,1.2,15.0,391.0,15.0,4420.0,17.0,54555,"3,668"
17,Oklahoma,5.1,4.0,433.0,10.0,4331.0,18.0,54434,"2,774"
18,Kansas,0.8,24.0,390.0,16.0,4328.0,19.0,63938,"2,027"
19,New Hampshire,0.2,43.0,240.0,41.0,4313.0,20.0,81346,"3,394"
20,Arkansas,0.9,23.0,372.0,17.0,4156.0,21.0,49781,"2,108"
21,South Carolina,0.7,25.0,329.0,21.0,4003.0,22.0,57444,"2,082"
22,Tennessee,0.6,30.0,333.0,20.0,4001.0,23.0,56060,"1,442"
23,Minnesota,0.5,32.0,341.0,18.0,3966.0,24.0,71817,"3,656"
24,Connecticut,0.2,41.0,211.0,45.0,3960.0,25.0,72812,"5,119"
25,New Mexico,3.6,9.0,336.0,19.0,3954.0,26.0,48283,"2,202"
26,Idaho,0.2,42.0,316.0,24.0,3951.0,27.0,58728,"2,405"
27,Wisconsin,0.3,36.0,325.0,22.0,3909.0,28.0,62629,"2,039"
28,Massachusetts,0.1,45.0,212.0,44.0,3902.0,29.0,86345,"2,785"
29,Delaware,0.0,50.0,301.0,28.0,3867.0,30.0,65012,"3,599"
30,Missouri,0.3,39.0,302.0,27.0,3853.0,31.0,61726,"2,442"
31,Ohio,3.5,10.0,322.0,23.0,3792.0,32.0,61633,"2,254"
32,Pennsylvania,9.4,2.0,310.0,26.0,3787.0,33.0,64524,"1,635"
33,New Jersey,0.4,35.0,252.0,36.0,3709.0,34.0,74176,"2,845"
34,Rhode Island,0.0,49.0,187.0,51.0,3686.0,35.0,62266,"3,348"
35,Michigan,0.7,27.0,290.0,30.0,3605.0,36.0,60449,"1,906"
36,Virginia,0.9,20.0,283.0,31.0,3601.0,37.0,77151,"3,086"
37,California,2.5,12.0,202.0,48.0,3522.0,38.0,70489,"1,233"
38,Illinois,2.7,11.0,315.0,25.0,3522.0,39.0,70145,"2,253"
39,Washington,1.1,17.0,276.0,32.0,3498.0,40.0,79726,"3,025"
40,Nevada,0.1,46.0,240.0,40.0,3418.0,41.0,61864,"2,116"
41,Georgia,0.7,28.0,274.0,33.0,3397.0,42.0,55821,"2,032"
42,Oregon,0.5,33.0,242.0,39.0,3388.0,43.0,69165,"3,655"
43,Maryland,0.3,38.0,226.0,42.0,3295.0,44.0,86223,"3,331"
44,North Carolina,0.7,26.0,252.0,37.0,3290.0,45.0,53369,"1,761"
45,Utah,0.9,21.0,265.0,35.0,3261.0,46.0,77067,"2,327"
46,Colorado,3.8,7.0,266.0,34.0,3239.0,47.0,73034,"3,562"
47,Arizona,0.6,29.0,208.0,46.0,3189.0,48.0,62283,"2,291"
48,New York,0.9,19.0,197.0,50.0,3112.0,49.0,67274,"1,722"
49,District of Columbia,0.0,51.0,249.0,38.0,3058.0,50.0,85750,"2,659"
50,Florida,0.6,31.0,202.0,49.0,2941.0,51.0,54644,"1,887"
